uf,municipality,district,sub_district,tract,urban_rural,place,address_1,address_2,house_number,modifier,complement1,value_1,complement_2,value_2,complement_3,value_3,complement4,value_4,complement_5,value_5,complement_6,value_6,latitude,longitude,borough,nil,landuse_id,landuse_description,multiple,collective_name,block_number,face_number,post_code,code_tract
11,15,5,0,1,1,AVENIDA,,BRASIL,3394,,,,,,,,,,,,,,,,REDONDO,,6,BORRACHARIA PEREIRA,1,,1,4,76954000,110001505000001.0
11,15,5,0,1,1,AVENIDA,,BRASIL,4020,,,,,,,,,,,,,,,,REDONDO,,6,COMERCIO BILL GAS,1,,1,4,76954000,110001505000001.0
11,15,5,0,1,1,AVENIDA,,RIO DE JANEIRO,3333,,,,,,,,,,,,,,,,BAIRRO REDONDO,,6,ESCRITORIO DA SERRARIA,1,,2,2,76954000,110001505000001.0
11,15,5,0,1,1,RUA,,ALAGOAS,4218,,CASA,,,,,,,,,,,,,,BAIRRO REDONDO,,6,IGREJA CONGREGACAO CRISTA DO BRASIL,1,,3,1,76954000,110001505000001.0
11,15,5,0,1,1,RUA,,ALAGOAS,4318,,CASA,,,,,,,,,,,,,,BAIRRO REDONDO,,6,LOJA DE ROUPA OUSADIA MODAS,1,,5,1,76954000,110001505000001.0
11,15,5,0,1,1,RUA,,ALAGOAS,4330,,CASA,,,,,,,,,,,,,,BAIRRO REDONDO,,6,SINDICATO DOS PROFESSORES MUNICIPAIS,1,,5,1,76954000,110001505000001.0
